user_id,age,gender,education_level,employment_status,job_title,monthly_income_usd,monthly_expenses_usd,savings_usd,has_loan,loan_type,loan_amount_usd,loan_term_months,monthly_emi_usd,loan_interest_rate_pct,debt_to_income_ratio,credit_score,savings_to_income_ratio,region,record_date
U17138,22,Male,Bachelor,Employed,Teacher,7492.81,4982.98,883992.82,No,None,0.0,0,0.0,0.0,0.0,307,9.83,Europe,2022-12-30
U31784,46,Female,Master,Employed,Driver,500.0,422.37,36822.5,No,None,0.0,0,0.0,0.0,0.0,417,6.14,Asia,2023-05-16
U12863,42,Female,PhD,Self-employed,Accountant,3397.67,2047.85,268362.1,No,None,0.0,0,0.0,0.0,0.0,483,6.58,Africa,2022-04-05
U08340,49,Female,Master,Employed,Driver,3517.39,2042.06,292027.75,No,None,0.0,0,0.0,0.0,0.0,708,6.92,North America,2023-08-23
U21172,28,Female,Other,Unemployed,Accountant,3076.39,1419.97,214448.73,No,None,0.0,0,0.0,0.0,0.0,424,5.81,Europe,2023-03-08
U05297,20,Male,Bachelor,Employed,Manager,2629.68,2026.99,165863.76,Yes,Education,24181.4,24,1089.69,7.64,0.41,656,5.26,Other,2022-08-26
U04874,32,Male,Bachelor,Employed,Doctor,4057.73,1986.13,78332.38,Yes,Car,437688.08,60,8080.46,4.1,1.99,714,1.61,Africa,2022-02-02
U14005,68,Female,High School,Employed,Engineer,4959.81,4231.37,539905.96,Yes,Car,305719.41,120,6398.41,22.38,1.29,362,9.07,North America,2022-09-23
U19883,63,Male,High School,Employed,Driver,6024.34,4177.38,335112.02,No,None,0.0,0,0.0,0.0,0.0,447,4.64,North America,2023-05-26
U06976,62,Male,Master,Employed,Unemployed,4319.39,2148.61,376272.41,No,None,0.0,0,0.0,0.0,0.0,733,7.26,Africa,2023-03-13
U10695,27,Male,High School,Employed,Accountant,6171.94,3212.58,151302.28,Yes,Business,489410.1,240,9664.58,23.47,1.57,352,2.04,Other,2023-12-11
U20233,25,Female,High School,Employed,Accountant,3943.1,2375.28,250717.42,Yes,Education,356250.2,60,9042.54,17.98,2.29,689,5.3,North America,2021-10-14
U11078,18,Male,Master,Employed,Engineer,4050.25,2730.47,128068.59,No,None,0.0,0,0.0,0.0,0.0,726,2.63,North America,2022-02-24
U29103,69,Female,Bachelor,Student,Engineer,2125.65,1615.91,40415.37,No,None,0.0,0,0.0,0.0,0.0,410,1.58,Europe,2023-08-09
U13673,41,Male,Master,Employed,Driver,5221.33,4467.26,222012.04,No,None,0.0,0,0.0,0.0,0.0,394,3.54,North America,2022-05-03
U26087,25,Female,Other,Self-employed,Salesperson,1195.23,935.7,99250.19,Yes,Car,498591.2,120,8016.56,14.91,6.71,672,6.92,North America,2023-03-08
U21234,54,Male,Bachelor,Employed,Unemployed,2210.68,695.61,67275.73,Yes,Business,170848.67,300,3861.68,27.09,1.75,355,2.54,Europe,2025-04-19
U29039,18,Female,Bachelor,Self-employed,Driver,4841.95,4290.65,161855.33,No,None,0.0,0,0.0,0.0,0.0,535,2.79,Africa,2021-09-30
U14872,56,Male,Master,Unemployed,Driver,801.18,261.01,41008.84,Yes,Business,141427.63,120,1525.07,5.36,1.9,775,4.27,North America,2024-11-19
U14035,25,Female,Bachelor,Unemployed,Student,5664.99,1805.39,158529.48,No,None,0.0,0,0.0,0.0,0.0,534,2.33,North America,2022-11-21
U05945,43,Female,Master,Employed,Driver,3114.94,1278.05,19812.71,No,None,0.0,0,0.0,0.0,0.0,553,0.53,Other,2023-01-16
U21724,24,Male,Master,Self-employed,Teacher,1454.45,1183.54,39627.01,Yes,Home,210572.98,24,9352.66,6.21,6.43,807,2.27,Other,2025-07-11
U00976,63,Male,High School,Employed,Doctor,5507.27,3893.73,193849.99,Yes,Car,290628.66,24,15305.0,23.58,2.78,800,2.93,Europe,2022-06-29
U30462,68,Male,Bachelor,Self-employed,Teacher,5309.16,3071.21,248023.75,Yes,Car,456589.49,36,14553.45,9.16,2.74,605,3.89,North America,2023-08-26
U25799,54,Female,Bachelor,Self-employed,Teacher,2507.06,1936.44,38885.54,No,None,0.0,0,0.0,0.0,0.0,818,1.29,Europe,2022-01-01
U25219,56,Male,Bachelor,Self-employed,Unemployed,4454.31,2428.76,414945.4,Yes,Business,288955.76,24,13951.53,14.57,3.13,399,7.76,Asia,2024-10-29
U05936,52,Female,Bachelor,Employed,Teacher,4758.82,2946.81,270085.25,Yes,Car,104101.82,12,9404.9,15.18,1.98,611,4.73,Europe,2024-04-11
U22188,46,Male,Master,Employed,Student,8602.58,2936.48,577281.82,No,None,0.0,0,0.0,0.0,0.0,398,5.59,Europe,2024-11-06
U28287,26,Female,Master,Employed,Unemployed,5186.95,3279.73,139884.75,No,None,0.0,0,0.0,0.0,0.0,634,2.25,North America,2025-01-26
U21106,52,Female,Master,Student,Engineer,4213.28,1997.14,142437.1,No,None,0.0,0,0.0,0.0,0.0,640,2.82,Other,2022-06-23
U14275,44,Other,Bachelor,Employed,Student,4564.42,1533.92,484922.07,No,None,0.0,0,0.0,0.0,0.0,805,8.85,Other,2024-12-09
U15047,34,Other,Master,Employed,Doctor,3050.1,2554.63,228397.42,No,None,0.0,0,0.0,0.0,0.0,848,6.24,Asia,2023-03-06
U12846,32,Female,Master,Employed,Salesperson,3023.67,1491.3,17157.13,Yes,Education,442762.04,240,7497.43,19.93,2.48,626,0.47,Africa,2021-10-16
U13201,36,Female,Bachelor,Self-employed,Unemployed,5436.57,3888.11,556244.2,No,None,0.0,0,0.0,0.0,0.0,477,8.53,Europe,2022-01-09
U22855,51,Female,Master,Student,Manager,5056.67,1670.32,181215.1,No,None,0.0,0,0.0,0.0,0.0,304,2.99,Asia,2023-08-26
U15369,61,Male,Master,Employed,Teacher,2845.57,1777.85,13093.71,Yes,Education,259198.1,120,6676.46,29.18,2.35,343,0.38,Asia,2022-07-12
U23296,51,Female,Bachelor,Employed,Manager,6398.49,2711.2,224953.98,No,None,0.0,0,0.0,0.0,0.0,788,2.93,Europe,2023-11-14
U16479,54,Female,Bachelor,Self-employed,Doctor,5679.27,4153.31,256788.04,No,None,0.0,0,0.0,0.0,0.0,341,3.77,North America,2022-06-17
U21090,67,Male,Bachelor,Employed,Salesperson,4568.81,2820.1,183519.51,No,None,0.0,0,0.0,0.0,0.0,561,3.35,Europe,2024-08-07
U11635,21,Female,PhD,Employed,Driver,4305.23,1787.98,502832.25,No,None,0.0,0,0.0,0.0,0.0,646,9.73,North America,2024-10-24
U01720,19,Male,Bachelor,Self-employed,Unemployed,3553.88,1346.12,283765.58,No,None,0.0,0,0.0,0.0,0.0,625,6.65,Africa,2025-01-16
U15730,49,Female,Bachelor,Employed,Salesperson,5733.79,1878.11,614359.97,No,None,0.0,0,0.0,0.0,0.0,850,8.93,Africa,2022-03-04
U23277,55,Male,PhD,Employed,Driver,3043.6,1234.48,315088.42,No,None,0.0,0,0.0,0.0,0.0,454,8.63,Other,2021-11-29
U27073,18,Male,Master,Employed,Unemployed,4248.34,2942.08,28210.23,No,None,0.0,0,0.0,0.0,0.0,389,0.55,Africa,2025-02-27
U25502,18,Female,Bachelor,Self-employed,Doctor,2120.86,960.72,142662.76,No,None,0.0,0,0.0,0.0,0.0,395,5.61,North America,2021-09-10
U00305,47,Other,Master,Employed,Teacher,2801.27,1698.55,208070.89,No,None,0.0,0,0.0,0.0,0.0,663,6.19,Other,2021-10-28
U21788,53,Male,Master,Employed,Doctor,7745.57,5703.2,477418.95,Yes,Home,78651.32,12,6849.76,8.22,0.88,522,5.14,Europe,2024-06-04
U13237,33,Male,High School,Employed,Manager,1221.24,772.75,58711.98,Yes,Education,424166.88,60,12607.01,25.63,10.32,554,4.01,North America,2022-11-22
U04835,25,Female,Master,Self-employed,Student,2802.53,2465.39,225967.71,No,None,0.0,0,0.0,0.0,0.0,383,6.72,Europe,2025-02-28
U28937,55,Other,Bachelor,Self-employed,Accountant,3633.54,1154.26,151683.23,No,None,0.0,0,0.0,0.0,0.0,733,3.48,Asia,2022-05-23
U26398,67,Female,Bachelor,Self-employed,Engineer,9103.57,3301.15,1041720.87,Yes,Business,74937.98,360,1538.51,24.62,0.17,574,9.54,Asia,2024-06-15
U23501,20,Female,High School,Self-employed,Driver,4658.09,3971.63,549964.98,No,None,0.0,0,0.0,0.0,0.0,691,9.84,North America,2024-11-17
U04310,53,Female,Master,Self-employed,Engineer,4412.44,2266.83,490061.4,Yes,Home,32211.64,12,3090.52,26.85,0.7,428,9.26,Asia,2022-11-13
U15900,50,Female,Master,Employed,Accountant,4974.87,3812.85,125033.99,Yes,Home,87736.65,180,1404.73,17.87,0.28,600,2.09,Africa,2021-10-26
U29529,55,Female,PhD,Employed,Manager,3273.52,1817.72,240641.26,No,None,0.0,0,0.0,0.0,0.0,638,6.13,Europe,2023-12-26
U27436,56,Female,Master,Employed,Doctor,2242.39,1444.77,22803.22,Yes,Car,26270.43,300,456.07,20.71,0.2,502,0.85,Africa,2022-04-28
U10450,53,Male,Master,Employed,Teacher,4347.9,2826.77,180409.11,No,None,0.0,0,0.0,0.0,0.0,419,3.46,Asia,2025-06-27
U17610,34,Male,Bachelor,Employed,Teacher,6008.6,2522.87,117422.47,No,None,0.0,0,0.0,0.0,0.0,438,1.63,Other,2024-11-08
U09865,62,Male,High School,Employed,Engineer,1973.22,788.4,209549.92,Yes,Education,200316.67,36,6607.55,11.52,3.35,579,8.85,North America,2022-09-16
U21405,63,Male,PhD,Student,Accountant,5798.08,3208.96,692364.33,No,None,0.0,0,0.0,0.0,0.0,320,9.95,North America,2022-06-16
U29292,69,Male,Bachelor,Employed,Manager,4656.31,2252.43,245025.74,Yes,Home,452190.35,36,16470.52,18.54,3.54,681,4.39,Africa,2025-02-14
U17273,21,Male,Bachelor,Employed,Driver,2241.83,1501.61,192351.72,Yes,Business,302065.87,300,5475.4,21.65,2.44,439,7.15,Asia,2023-08-19
U13714,19,Female,Other,Employed,Teacher,6508.73,5342.99,16561.13,No,None,0.0,0,0.0,0.0,0.0,663,0.21,Africa,2023-04-07
U26757,19,Female,Bachelor,Employed,Driver,1161.65,804.55,87553.95,No,None,0.0,0,0.0,0.0,0.0,627,6.28,North America,2023-11-24
U09636,69,Male,Bachelor,Employed,Doctor,4292.55,1708.4,23314.32,No,None,0.0,0,0.0,0.0,0.0,355,0.45,Africa,2023-03-31
U04919,55,Female,Bachelor,Employed,Student,3006.51,2355.04,238847.76,No,None,0.0,0,0.0,0.0,0.0,727,6.62,Africa,2023-10-18
U19912,62,Female,High School,Student,Salesperson,3906.92,2732.36,117500.14,No,None,0.0,0,0.0,0.0,0.0,423,2.51,Africa,2022-12-14
U04511,65,Male,Master,Employed,Manager,2989.47,1018.21,196270.22,No,None,0.0,0,0.0,0.0,0.0,375,5.47,Asia,2024-12-09
U21052,66,Female,Master,Employed,Student,3577.29,2959.4,388177.35,No,None,0.0,0,0.0,0.0,0.0,814,9.04,Other,2021-12-24
U29369,67,Female,PhD,Student,Accountant,1581.5,1337.17,93055.63,No,None,0.0,0,0.0,0.0,0.0,327,4.9,Asia,2023-11-25
U15198,34,Female,High School,Self-employed,Engineer,6595.03,4358.5,162014.27,No,None,0.0,0,0.0,0.0,0.0,828,2.05,Asia,2022-12-08
U27756,23,Female,Master,Employed,Engineer,5168.12,3912.3,111692.64,Yes,Car,291303.73,60,5522.65,5.19,1.07,388,1.8,Europe,2022-02-07
U16559,21,Female,Bachelor,Employed,Accountant,4040.64,1252.6,173545.73,No,None,0.0,0,0.0,0.0,0.0,686,3.58,North America,2023-08-09
U13136,52,Male,Master,Self-employed,Unemployed,4003.77,2395.46,355694.87,Yes,Home,485671.4,120,11940.31,27.57,2.98,412,7.4,Europe,2022-03-13
U25936,60,Male,PhD,Employed,Engineer,1686.56,1419.66,130813.08,Yes,Business,102170.82,12,9149.12,13.49,5.42,688,6.46,Africa,2024-04-14
U09564,36,Male,Master,Employed,Doctor,5319.74,3674.16,337002.24,No,None,0.0,0,0.0,0.0,0.0,830,5.28,Asia,2023-04-26
U00128,63,Male,Master,Employed,Doctor,4562.38,3333.19,222227.77,No,None,0.0,0,0.0,0.0,0.0,389,4.06,North America,2024-10-20
U09357,29,Male,Other,Employed,Accountant,3930.54,3331.77,38370.96,No,None,0.0,0,0.0,0.0,0.0,831,0.81,Europe,2022-05-21
U26859,59,Female,PhD,Employed,Accountant,1746.86,1127.88,177744.14,No,None,0.0,0,0.0,0.0,0.0,430,8.48,Asia,2023-01-29
U01039,43,Other,High School,Self-employed,Accountant,3084.65,2036.1,60964.55,No,None,0.0,0,0.0,0.0,0.0,347,1.65,Other,2022-06-12
U32249,39,Male,Bachelor,Employed,Unemployed,2587.31,2031.68,47959.32,No,None,0.0,0,0.0,0.0,0.0,811,1.54,Europe,2021-12-21
U30065,64,Male,Bachelor,Employed,Doctor,5922.38,4385.69,390227.44,No,None,0.0,0,0.0,0.0,0.0,829,5.49,Asia,2021-11-15
U13058,43,Female,High School,Self-employed,Driver,1683.27,1305.7,106581.49,Yes,Education,446736.94,300,4211.63,10.48,2.5,467,5.28,Africa,2024-01-22
